alpha	beta	Aq	d	mt	mf	pin	dzul
15	30	3e-06	0.1	0.015	0.015	1.5	7.5
15	30	2e-06	0.2	0.015	0.015	1.5	7.5
15	0	3e-06	0.2	0.015	0.015	1.5	7.5
45	0	2e-06	0.2	0.015	0.015	1.5	7.5
45	30	3e-06	0.2	0.015	0.015	1.5	7.5
45	0	3e-06	0.1	0.015	0.015	1.5	7.5
45	30	2e-06	0.1	0.015	0.015	1.5	7.5
15	0	2e-06	0.1	0.015	0.015	1.5	7.5
15	0	2e-06	0.1	0.015	0.015	1.5	7.5
15	30	2e-06	0.2	0.015	0.015	1.5	7.5
45	30	2e-06	0.1	0.015	0.015	1.5	7.5
15	30	3e-06	0.1	0.015	0.015	1.5	7.5
45	0	2e-06	0.2	0.015	0.015	1.5	7.5
45	0	3e-06	0.1	0.015	0.015	1.5	7.5
15	0	3e-06	0.2	0.015	0.015	1.5	7.5
45	30	3e-06	0.2	0.015	0.015	1.5	7.5
