alpha	beta	Aq	d	mt	mf	pin	dzul	consumption	range	speed
15	30	0,0	0.1	0.015	0.015	1,5	7,5	5.81386550815419	5.87242636758464	2,04
3	15	30,0	0,000002	0.015	0.015	1,5	7,5	6.45571004180257	6.0622945599907	1,93
5	15	0,0	0,000003	0.015	0.015	1,5	7,5	5.20345162189477	5.69576623285794	1,73
2	45	0,0	0,000002	0.015	0.015	1,5	7,5	6.48622484237437	5.42346846705337	2,62
8	45	30,0	0,000003	0.015	0.015	1,5	7,5	5.81331119506855	5.87138863687927	2,33
6	45	0,0	0,000003	0.015	0.015	1,5	7,5	5.17937896031721	4.95936735839698	2,63
4	45	30,0	0,000002	0.015	0.015	1,5	7,5	5.81304612989493	5.87486846735606	3,28
1	15	0,0	0,000002	0.015	0.015	1,5	7,5	4.95995714119154	5.52022276976062	2,15
1	15	0,0	0,000002	0.015	0.015	1,5	7,5	5.87278318860018	5.87817207343495	2,26
3	15	30,0	0,000002	0.015	0.015	1,5	7,5	5.82501109485618	4.82120639077289	1,97
4	45	30,0	0,000002	0.015	0.015	1,5	7,5	5.84797743968392	5.68382440411963	3,33
7	15	30,0	0,000003	0.015	0.015	1,5	7,5	6.69069877153035	6.18270447027715	1,96
2	45	0,0	0,000002	0.015	0.015	1,5	7,5	6.48622484237437	5.42346846705337	2,66
6	45	0,0	0,000003	0.015	0.015	1,5	7,5	5.81331119506855	5.87138863687927	2,86
5	15	0,0	0,000003	0.015	0.015	1,5	7,5	5.17937896031721	4.95936735839698	1,84
8	45	30,0	0,000003	0.015	0.015	1,5	7,5	5.81304612989493	5.87486846735606	2,25
										
										
										
										
										
										
										
										
										
										
										
										
										
