run.order;std.order;Block;RoLe;RoWi;BoLe;FoLe;x1;x2;x3;x4;Time
1;8;1;11,5;5;5,5;9;1;1;1;1;9,66
2;5;1;5,5;3;5,5;9;-1;-1;1;1;9,07
3;3;1;5,5;5;1,5;9;-1;1;-1;1;5,38
4;6;1;11,5;3;5,5;5;1;-1;1;-1;19,94
5;7;1;5,5;5;5,5;5;-1;1;1;-1;7,75
6;4;1;11,5;5;1,5;5;1;1;-1;-1;7,60
7;1;1;5,5;3;1,5;5;-1;-1;-1;-1;13,36
8;2;1;11,5;3;1,5;9;1;-1;-1;1;21,07
1;4;2;11,5;5;1,5;5;1;1;-1;-1;8,69
2;5;2;5,5;3;5,5;9;-1;-1;1;1;10,79
3;6;2;11,5;3;5,5;5;1;-1;1;-1;20,05
4;2;2;11,5;3;1,5;9;1;-1;-1;1;19,71
5;1;2;5,5;3;1,5;5;-1;-1;-1;-1;12,20
6;3;2;5,5;5;1,5;9;-1;1;-1;1;6,76
7;7;2;5,5;5;5,5;5;-1;1;1;-1;7,29
8;8;2;11,5;5;5,5;9;1;1;1;1;8,64
